ave_i:0.00201053 dif_i:0.00593686 dura:0.0261369 num:14
ave_i:0.00207283 dif_i:0.0059011 dura:0.024874 num:13
ave_i:0.00184123 dif_i:0.0059278 dura:0.023936 num:14
ave_i:0.00186798 dif_i:0.00588608 dura:0.0149438 num:9
ave_i:0.00192732 dif_i:0.00597 dura:0.0250552 num:14
ave_i:0.00177332 dif_i:0.00594401 dura:0.0230532 num:14
ave_i:0.00208076 dif_i:0.0058012 dura:0.0249691 num:13
ave_i:0.00125551 dif_i:0.00475907 dura:0.00502205 num:5
ave_i:0.00152576 dif_i:0.00585699 dura:0.00610304 num:5
ave_i:0.00193538 dif_i:0.00598407 dura:0.12967 num:68
ave_i:0.00181428 dif_i:0.00571179 dura:0.0199571 num:12
ave_i:0.00172708 dif_i:0.00592709 dura:0.0189979 num:12
ave_i:0.00218983 dif_i:0.00578308 dura:0.0109491 num:6
ave_i:0.00181991 dif_i:0.00594616 dura:0.0200191 num:12
ave_i:0.0020004 dif_i:0.0057981 dura:0.020004 num:11
ave_i:0.00199728 dif_i:0.00592494 dura:0.0199728 num:11
